 Year   Balance
    1   1333.00
    2   2629.09
    3   3991.48
    4   5423.58
    5   6928.94
    6   8511.33
    7  10174.67
    8  11923.11
    9  13761.00
   10  15692.93
   11  17723.69
   12  19858.36
   13  22102.23
   14  24460.91
   15  26940.26
   16  29546.47
   17  32286.00
   18  35165.70
   19  38192.73
   20  41374.63
   21  44719.32
   22  48235.13
   23  51930.82
   24  55815.58
   25  59899.10
   26  64191.54
   27  68703.58
   28  73446.47
   29  78432.02
   30  83672.64
   31  89181.37
   32  94971.95
   33 101058.78
   34 107457.02
   35 114182.61
   36 121252.30
   37 128683.68
   38 136495.27
   39 144706.51
   40 153337.86
   41 162410.80
   42 171947.93
   43 181973.00
   44 192510.97
   45 203588.08
   46 215231.92
   47 227471.48
   48 240337.23
   49 253861.23
   50 268077.14
